اسم المرفق,اسم المستخدم
مستشفى بنغازي التخصصي,WBSH
مستشفى دار الحكمة,WDHH
مستشفى فينيسيا,WVH
المستشفى الليبي الدولي,WLIH
مستشفى الطارق,WTH
مستشفى سيدي خليفة,WSKH
مستشفى دار الشفاء,WCSH
مستشفى الهرم الجديد,WNHH
مستشفى الصفوة,WSH
مركز دار الاشعة,WRHC
مركز الامل للنساء والولادة,WAC
مركز لين للنساء والولادة,WLC
مستشفى الاستشاري,WEH
مستشفى الشروق,WSHH
مستشفى ابن سينا التخصصية,WSSC
مصحة صحة الفؤاد,WSAC
مستشفى الحدائق التخصصي,WAH
الهلال الأحمر البركة,WLRC
مستشفى الحياة,WHH
صيدلية الشريف,WSHPH
صيدلية الشريف المركزية,WSCPH
صيدلية سالم,WSPH
صيدلية حاتم,WHPH
صيدلية الرحيق قاريونس,WRKPH
صيدلية الرحيق الساحل,WRSPH
صيدلية الرحيق الحديثة,WRHPH
صيدلية بدر,WBPH
صيدلية برنيق,WBRPH
صيدلية العالية,WALPH
صيدلية سلسبيل,WSLPH
صيدلية ملك,WMAPH
صيدلية سيرين,WSEPH
صيدليات أمواج,WAMPH
صيدلية الشهيد علي الشريف,WA+PH
صيدلية الخدمات الضمانية,WMSSPH
صيدلية بوزريبة,WBOZPH
